HAGRID	Kingdom	Phylum	Class	Order	Family	Genus	Species	Common name	Female maturity (days)	Male maturity (days)	Gestation/Incubation (days)	Weaning (days)	Litter/Clutch size	Litters/Clutches per year	Inter-litter/Interbirth interval	Birth weight (g)	Weaning weight (g)	Adult weight (g)	Growth rate (1/days)	Maximum longevity (yrs)	Source	Specimen origin	Sample size	Data quality	IMR (per yr)	MRDT (yrs)	Metabolic rate (W)	Body mass (g)	Temperature (K)	References	scientific_name	ncbi_id
2326	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Leontopithecus	rosalia	Golden lion tamarin	547	730	128	131	2	1.8	189	55.3	165	654.5	0.0077	31.6	671	captivity	large	high	NA	NA	NA	NA	NA	434,448,455,467,610,671,679,680,681,731,1142	Leontopithecus rosalia	30588
2327	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Mico	argentatus	Silvery marmoset	304	334	144	120	2	3.2	213	35.1	NA	343.2	0.0059	16.5	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,436,455,467,574,671,731	Mico argentatus	1965102
2328	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Mico	humeralifer	Tassel-eared marmoset	304	334	144	NA	2	NA	NA	34.5	NA	355.8	NA	15	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434,436,467,671	Mico humeralifer	1965102
2329	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Saguinus	bicolor	Brazilian bare-faced tamarin	NA	NA	160	NA	1.63	NA	NA	NA	NA	495.8	NA	19	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,455,467,671	Saguinus bicolor	37588
2330	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Saguinus	geoffroyi	Geoffroy's tamarin	548	NA	142	56	2	NA	241	46.03	NA	499.3	NA	20.5	671	captivity	medium	acceptable	NA	NA	1.305	225	NA	36,434,455,542,610,671,679,681,978	Saguinus geoffroyi	43778
2331	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Saguinus	imperator	Emperor tamarin	546	730	145	NA	2	NA	NA	47	NA	518.5	NA	23.7	671	captivity	large	high	NA	NA	NA	NA	NA	321,434,467,671	Saguinus imperator	9491
2332	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Saguinus	labiatus	Red-chested mustached tamarin	NA	NA	147	227	1.9	1.2	299	42.33	NA	501.3	NA	20.5	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	455,542,610,671,681,978	Saguinus labiatus	78454
2333	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Saguinus	leucopus	Silvery-brown bare-face tamarin	NA	NA	142	NA	2	NA	NA	44	NA	490	NA	15.2	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671,681,978	Saguinus leucopus	290597
2334	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Saguinus	midas	Midas tamarin	608	NA	127	71	2	1.4	207	40	NA	553.8	NA	21	671	captivity	large	high	NA	NA	NA	NA	NA	434,455,467,542,610,671,679,680,681,978	Saguinus midas	30586
2335	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Saguinus	mystax	Black-chested mustached tamarin	486	540	145	171	2	NA	168	46.9	NA	543.5	NA	20	671	captivity	small	acceptable	NA	NA	NA	NA	NA	59,434,455,467,610,671,681	Saguinus mystax	9488
2336	Animalia	Chordata	Mammalia	Primates	Callitrichidae	Saguinus	oedipus	Cotton-top tamarin	548	550	178	52	1.9	1	244	39.36	105	445.5	0.0102	26.2	671	captivity	large	high	NA	NA	NA	NA	NA	321,322,434,455,463,467,610,671,679,680,681,731,824	Saguinus oedipus	9490
2338	Animalia	Chordata	Mammalia	Primates	Cebidae	Cebus	albifrons	White-fronted capuchin	1310	1310	158	274	1	0.7	547	233	NA	2467.5	NA	40.4	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,436,455,467,542,574,610,671,679,681	Cebus albifrons	9514
2339	Animalia	Chordata	Mammalia	Primates	Cebidae	Cebus	capucinus	White-faced capuchin	1505	2921	162	521	1	0.5	803	230	1350	2655	NA	54	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,436,455,467,610,671,679,680,681,1091,1125,1143	Cebus capucinus	9516
2340	Animalia	Chordata	Mammalia	Primates	Cebidae	Cebus	olivaceus	Weeping capuchin	2190	NA	162	740	1	0.5	792	NA	NA	2552.5	NA	47	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,436,455,467,671,679,681	Cebus olivaceus	37295
2341	Animalia	Chordata	Mammalia	Primates	Cebidae	Saimiri	boliviensis	Bolivian squirrel monkey	NA	NA	158	NA	1	NA	NA	NA	NA	615	NA	30.3	671	captivity	large	acceptable	NA	NA	NA	NA	NA	671,730,978	Saimiri boliviensis	27679
2342	Animalia	Chordata	Mammalia	Primates	Cebidae	Saimiri	oerstedii	Central American squirrel monkey	NA	NA	161	NA	1	NA	NA	NA	NA	788.5	NA	NA		unknown	tiny	low	NA	NA	NA	NA	NA	467,671,978	Saimiri oerstedii	70928
2343	Animalia	Chordata	Mammalia	Primates	Cebidae	Saimiri	sciureus	South American squirrel monkey	1003	1826	161	177	1	1	365	107	403	925	0.0125	30.2	671	captivity	large	high	NA	NA	4.429	836.7	311.15	36,59,75,108,192,193,388,389,390,420,434,436,455,463,467,671,731,826,1136,1236	Saimiri sciureus	9521
2344	Animalia	Chordata	Mammalia	Primates	Cebidae	Sapajus	apella	Brown capuchin	1703	NA	158	307	1.5	0.6	671	239.7	1000	2642.5	NA	46	671	captivity	large	high	NA	NA	NA	NA	NA	383,434,436,455,467,610,671,679,680,681	Sapajus apella	9515
2345	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Allenopithecus	nigroviridis	Allen's swamp monkey	NA	NA	NA	108	1	NA	NA	221	NA	4702.5	NA	27	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,455,467,542,671,681	Allenopithecus nigroviridis	54135
2346	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Allochrocebus	lhoesti	L'hoest's monkey	NA	NA	NA	NA	1	0.8	485	NA	NA	4700	NA	24.1	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	455,467,671,679	Allochrocebus lhoesti	NA
2347	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Allochrocebus	preussi	Preuss's monkey	NA	NA	NA	NA	1	NA	NA	NA	NA	5250	NA	26	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671,730,978	Allochrocebus preussi	NA
2348	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Allochrocebus	solatus	Sun-tailed monkey	1734	NA	NA	NA	1	0.7	548	NA	NA	5405	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	467,671,681,978	Allochrocebus solatus	NA
2349	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	agilis	Agile mangabey	NA	NA	NA	NA	NA	NA	NA	NA	NA	8000	NA	31	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	671,730	Cercocebus agilis	255237
2350	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	galeritus	Tana River mangabey	2267	NA	175	365	1	NA	NA	NA	2170	9467.5	NA	NA		unknown	tiny	low	NA	NA	NA	NA	NA	434,455,467,610,671,679,680,681	Cercocebus galeritus	9532
2351	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercocebus	torquatus	Red-capped mangabey	973	NA	167	NA	1	0.9	457	NA	NA	9492.5	NA	46	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	216,434,455,467,542,671	Cercocebus torquatus	9530
2352	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	ascanius	Black-cheeked white-nosed monkey	1642	NA	147	182	1	0.7	540	371	NA	3705	NA	31.2	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,455,467,671,679,681	Cercopithecus ascanius	36223
2353	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	campbelli	Campbell's monkey	1095	NA	180	365	1	NA	NA	NA	NA	3600	NA	30	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434,467,610,671,679	Cercopithecus campbelli	303588
2354	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	cephus	Moustached monkey	1460	NA	172	365	1	0.4	821	340	NA	3585	NA	36	671	captivity	small	acceptable	NA	NA	NA	NA	NA	455,467,610,671,679,681	Cercopithecus cephus	9535
2355	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	diana	Diana monkey	1962	NA	NA	365	1	1	365	475	NA	4550	NA	35.1	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	467,574,671,679,681	Cercopithecus diana	36224
2356	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	erythrogaster	Red-bellied monkey	NA	NA	NA	NA	1	NA	NA	NA	NA	3250	NA	24	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	467,671,978	Cercopithecus erythrogaster	161496
2357	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	hamlyni	Owl-faced monkey	NA	NA	NA	NA	NA	NA	NA	NA	NA	4425	NA	28.6	671	captivity	small	acceptable	NA	NA	NA	NA	NA	467,671	Cercopithecus hamlyni	9536
2358	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	mitis	Blue monkey	1673	1673	132	315	1	0.5	515	366.4	NA	9000	NA	37.8	671	captivity	medium	acceptable	NA	NA	19.276	8648.7	310.65	36,420,434,455,467,542,671,679,680,681,1091,1125,1143	Cercopithecus mitis	36225
2359	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	mona	Mona monkey	NA	NA	NA	NA	1	NA	NA	284	NA	4500	NA	30	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,467,542,671	Cercopithecus mona	36226
2360	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	neglectus	De Brazza's monkey	1611	2555	177	395	1	1	365	260	1640	5945	NA	30.8	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,455,467,542,671,679,680,681	Cercopithecus neglectus	36227
2361	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	nictitans	White-nosed guenon	1460	NA	172	NA	1	0.5	719	406	NA	5465	NA	31	671	captivity	small	acceptable	NA	NA	NA	NA	NA	467,671,679,681	Cercopithecus nictitans	36228
2362	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	petaurista	Lesser white-nosed monkey	NA	NA	NA	NA	1	NA	NA	NA	NA	3650	NA	29	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	467,671,978	Cercopithecus petaurista	100487
2363	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	pogonias	Crowned guenon	1460	NA	165	NA	1	0.5	730	340	NA	3580	NA	27	671	captivity	small	acceptable	NA	NA	NA	NA	NA	467,671	Cercopithecus pogonias	102108
2364	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Cercopithecus	wolfi	Wolf's monkey	NA	NA	NA	NA	1	NA	NA	435	NA	3390	NA	24	John Gramieri, pers. comm.	captivity	small	acceptable	NA	NA	NA	NA	NA	467,978	Cercopithecus wolfi	263448
2365	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Chlorocebus	aethiops	Vervet	1034	1825	162	182	1	1	357	314	1036	5620	NA	30.8	671	captivity	medium	acceptable	NA	NA	NA	NA	309.95	59,108,434,455,467,671,1024,1088	Chlorocebus aethiops	9534
2366	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Colobus	angolensis	Angolan colobus	NA	NA	NA	NA	1	NA	NA	NA	NA	8625	NA	35.3	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	467,671	Colobus angolensis	54131
2367	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Colobus	guereza	Guereza	1461	2192	175	377	1	1	365	397.8	1600	9950	NA	35	671	captivity	large	high	NA	NA	17.037	10623.6	310.15	36,420,434,436,448,455,467,542,610,671,679,681,1142	Colobus guereza	33548
2368	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Colobus	polykomos	King colobus	1642	730	185	270	1	0.6	442	708.5	1240	9525	NA	33.9	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434,436,455,467,511,542,610,671,679,680,681	Colobus polykomos	9572
2369	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Erythrocebus	patas	Patas monkey	956	1400	167	162	1	1	357	504.5	1950	7750	NA	28.3	671	captivity	medium	acceptable	NA	NA	5.958	3000	312.45	36,195,420,434,455,467,671,679,680,681	Erythrocebus patas	9538
2370	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Lophocebus	albigena	Gray-cheeked mangabey	1460	NA	181	233	1	0.4	584	425	2170	9317.5	NA	36	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434,455,467,610,671,679,680,681	Lophocebus albigena	75567
2371	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	arctoides	Stump-tailed macaque	1186	2099	177	299	1	0.6	558	479	2300	9275	NA	29.2	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	1,434,455,467,610,671,681	Macaca arctoides	9540
2372	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	assamensis	Assam macaque	NA	NA	NA	NA	NA	NA	NA	NA	NA	9100	NA	31.4	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	467,671	Macaca assamensis	9551
2373	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	fascicularis	Long-tailed macaque	1238	1544	165	242	1	0.9	431	320	848.4	6362.5	NA	39	671	captivity	large	acceptable	NA	NA	NA	NA	310.75	95,167,168,169,170,171,172,173,434,455,467,610,671,679,680,681,798,804,825,945,946,1028,1088,1143,1236	Macaca fascicularis	9541
2374	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	fuscata	Japanese macaque	1483	1369	174	366	1.5	0.5	514	496	1767	8882.5	NA	38.5	671	captivity	large	high	NA	NA	NA	NA	NA	95,269,270,271,434,455,467,610,671,679,680,681,976,1143,1195	Macaca fuscata	9542
2375	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	maura	Moor macaque	1825	NA	165	507	1	0.6	669	389.5	NA	5575	NA	33	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671,679,681,978	Macaca maura	90383
2376	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	mulatta	Rhesus monkey	1231	2007	165	292	1	1	444	464	1454	8235	0.0012	40	1074	captivity	large	high	0.02	15	NA	NA	310.45	2,58,59,75,95,149,152,157,174,235,328,329,330,331,332,333,334,335,336,390,391,430,434,455,463,464,465,467,517,601,610,679,680,681,713,727,731,873,916,920,938,976,981,1036,1074,1087,1090,1101,1103,1122,1136,1143,1183,1184,1213,1214,1216,1236,1257	Macaca mulatta	9544
2377	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	nemestrina	Pigtail macaque	1125	1095	172	324	1	0.8	405	462.5	1416.5	7912.5	0.0015	37.6	671	captivity	large	acceptable	NA	NA	NA	NA	NA	152,164,346,347,348,349,350,351,434,455,463,467,542,610,671,679,680,681,731	Macaca nemestrina	9545
2378	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	nigra	Celebes crested macaque	1490	NA	176	365	1	0.7	540	461	NA	7965	NA	34	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,455,467,610,671,679,680,681,1142	Macaca nigra	54600
2379	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	ochreata	Booted macaque	NA	NA	NA	NA	NA	NA	NA	NA	NA	3950	NA	29	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	467,671	Macaca ochreata	90385
2380	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	radiata	Bonnet macaque	1295	1795	161	304	1	1	365	394	2000	6755	NA	30	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	93,94,95,434,455,467,610,671,679,681,1088	Macaca radiata	9548
2381	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	silenus	Liontail macaque	1429	2511	176	365	1	0.7	503	407	NA	7875	NA	40	671	captivity	large	high	NA	NA	NA	NA	NA	434,455,467,610,671,679,680,681,713,1142	Macaca silenus	54601
2382	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	sinica	Toque macaque	1460	NA	152	396	1	0.7	547	446	NA	4370	NA	29.3	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434,455,467,671,676,679,681	Macaca sinica	9552
2383	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	sylvanus	Barbary macaque	1399	2007	164	213	1.5	1	365	450	2420	10875	NA	29.1	671	captivity	large	high	NA	NA	NA	NA	NA	434,455,467,610,671,679,680,681,1143	Macaca sylvanus	9546
2384	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	thibetana	Tibetan macaque	NA	NA	170	571	1	0.5	730	525	2400	10300	NA	27	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	434,455,467,610,671,681	Macaca thibetana	54602
2385	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Macaca	tonkeana	Tonkean macaque	NA	NA	173	NA	NA	NA	NA	NA	NA	11950	NA	28.4	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	467,671	Macaca tonkeana	40843
2386	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Mandrillus	leucophaeus	Drill	1277	NA	179	487	1	0.8	448	772	NA	18250	NA	39	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,455,467,671,679,681	Mandrillus leucophaeus	9568
2387	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Mandrillus	sphinx	Mandrill	1186	NA	173	354	1	0.8	532	613	3000	23000	NA	40	671	captivity	large	high	NA	NA	NA	NA	NA	422,434,455,467,671,679,681,1143	Mandrillus sphinx	9561
2388	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Miopithecus	talapoin	Talapoin	1395	2008	169	130	1	1	1096	203.8	450	1384.5	NA	27.7	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	174,434,455,467,671,679,680,681	Miopithecus talapoin	36231
2389	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Nasalis	larvatus	Proboscis monkey	1460	NA	166	213	1.25	0.7	540	490	2000	14617.5	0.0018	25.1	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434,455,467,671,679,681,731	Nasalis larvatus	43780
2390	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Papio	hamadryas	Hamadryas baboon	1514	1762	171	300	1	0.8	568	814	3950	18000	0.0026	37.5	671	captivity	large	high	0.06	4	21.095	12670.8	311.15	9,36,59,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,212,293,294,345,434,436,455,467,474,671,679,680,708,731,763,838,909,944,981,1045,1091,1125,1143,1150,1252	Papio hamadryas	9557
2391	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Presbytis	comata	Grizzled leaf monkey	NA	NA	NA	NA	1	NA	NA	NA	NA	6695	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	467,671	Presbytis comata	78452
2392	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Presbytis	melalophos	Mitred leaf monkey	NA	NA	NA	NA	1	NA	NA	NA	NA	6540	NA	20	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434,436,467,671	Presbytis melalophos	78451
2393	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Presbytis	thomasi	North Sumatran leaf monkey	NA	NA	NA	NA	NA	NA	NA	NA	NA	6690	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	671,730	Presbytis thomasi	1046103
2394	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Pygathrix	nemaeus	Douc langur	1460	NA	171	330	1	1	365	393.5	NA	9720	NA	26	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,455,467,671	Pygathrix nemaeus	54133
2395	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	bieti	Black snub-nosed monkey	NA	NA	170	NA	NA	NA	NA	427	NA	9960	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	671,681,978	Rhinopithecus bieti	61621
2396	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Rhinopithecus	roxellana	Golden snub-nosed monkey	NA	NA	199	NA	1	NA	NA	NA	NA	14750	NA	29.5	671	captivity	small	acceptable	NA	NA	NA	NA	NA	467,671,978	Rhinopithecus roxellana	61622
2397	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Semnopithecus	entellus	Hanuman langur	1162	1886	192	342	1	0.7	514	500	2100	13516.5	NA	29	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	185,434,436,455,466,467,542,671,679,680,681	Semnopithecus entellus	88029
2398	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Semnopithecus	johnii	Hooded leaf monkey	NA	NA	NA	NA	1	NA	NA	NA	NA	12000	NA	34	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	671,679	Semnopithecus johnii	88028
2399	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Semnopithecus	vetulus	Purple-faced leaf monkey	1278	NA	211	250	1	0.4	784	432.33	1100	7081.8	NA	26.1	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434,436,455,610,671,679,681,978	Semnopithecus vetulus	88028
2400	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Theropithecus	gelada	Gelada baboon	1391	2190	168	433	1	0.5	740	464	3900	16200	NA	36	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,455,467,610,671,679,680,681,1143	Theropithecus gelada	9565
2401	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	auratus	Javan langur	NA	NA	NA	NA	NA	NA	NA	NA	NA	9720	NA	31.1	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	671,978	Trachypithecus auratus	222416
2402	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	cristatus	Silvered leaf monkey	1461	NA	NA	365	1	NA	NA	NA	NA	6185	NA	28.3	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	436,455,467,671,679,681	Trachypithecus cristatus	122765
2403	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	francoisi	Fran?ois's leaf monkey	1460	NA	NA	398	NA	NA	NA	457	NA	7325	NA	26.3	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	671,681	Trachypithecus francoisi	54180
2404	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	geei	Golden leaf monkey	NA	NA	NA	NA	1	NA	NA	NA	NA	8100	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	671,679	Trachypithecus geei	164650
2405	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	obscurus	Dusky leaf monkey	1461	NA	145	365	1	0.5	NA	300	NA	7080	NA	33.9	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	434,436,455,467,610,671,679,681	Trachypithecus obscurus	54181
2406	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	phayrei	Phayre's leaf monkey	NA	NA	167	309	1	0.8	456	NA	NA	8400	NA	28.3	671	captivity	tiny	acceptable	NA	NA	NA	NA	NA	671,681,978	Trachypithecus phayrei	61618
2407	Animalia	Chordata	Mammalia	Primates	Cercopithecidae	Trachypithecus	pileatus	Capped leaf monkey	NA	NA	NA	NA	NA	NA	NA	NA	NA	11450	NA	25.2	671	captivity	small	acceptable	NA	NA	NA	NA	NA	671,730	Trachypithecus pileatus	164651
2408	Animalia	Chordata	Mammalia	Primates	Cheirogaleidae	Cheirogaleus	major	Greater dwarf lemur	365	365	65	47	2.2	NA	NA	18.1	NA	395	NA	13.4	671	captivity	small	questionable	NA	NA	NA	NA	NA	434,448,455,463,467,573,610,671,679,681	Cheirogaleus major	47177
2409	Animalia	Chordata	Mammalia	Primates	Cheirogaleidae	Cheirogaleus	medius	Fat-tailed dwarf lemur	365	NA	61	NA	22.2	1	365	19	NA	380	NA	29	1301	captivity	medium	acceptable	NA	NA	1.088	300	311.15	36,143,144,420,434,455,463,467,610,671,679,681,978,1221,1301	Cheirogaleus medius	9460
2410	Animalia	Chordata	Mammalia	Primates	Cheirogaleidae	Microcebus	murinus	Gray mouse lemur	243	243	61	37	2	1	73	6	NA	64.8	0.0362	18.2	671	captivity	medium	acceptable	NA	NA	NA	NA	NA	143,144,164,352,353,354,355,356,357,358,415,434,455,463,467,494,495,496,518,610,671,679,680,681,700,728,731,740,875,942,1189,1190,1221,1236,1301	Microcebus murinus	30608
2411	Animalia	Chordata	Mammalia	Primates	Cheirogaleidae	Microcebus	rufus	Brown mouse lemur	NA	NA	61	40	2.5	NA	73	6.5	NA	55.5	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	164,434,455,467,573,671	Microcebus rufus	122232
2412	Animalia	Chordata	Mammalia	Primates	Cheirogaleidae	Mirza	coquereli	Giant mouse lemur	312	275	89	136	1.8	1	365	14.8	NA	311.2	NA	17.4	671	captivity	small	acceptable	NA	NA	NA	NA	NA	164,434,455,463,467,671,679,681,817	Mirza coquereli	47180
2413	Animalia	Chordata	Mammalia	Primates	Cheirogaleidae	Phaner	furcifer	Fork-marked lemur	NA	NA	174	NA	1	NA	NA	NA	NA	400	NA	25	671	captivity	small	acceptable	NA	NA	NA	NA	NA	434,467,671,978	Phaner furcifer	261734
2414	Animalia	Chordata	Mammalia	Primates	Daubentoniidae	Daubentonia	madagascariensis	Aye-aye	882	NA	165	NA	1	1	760	109	NA	2277.5	NA	32.3	1301	captivity	small	acceptable	NA	NA	NA	NA	NA	434,436,455,467,542,671,679,681,978,1301	Daubentonia madagascariensis	31869
2415	Animalia	Chordata	Mammalia	Primates	Galagidae	Euoticus	elegantulus	Western needle-clawed galago	NA	NA	122	60	1	NA	182	NA	NA	315	NA	NA		unknown	small	low	NA	NA	1.205	261.5	NA	36,436,542	Euoticus elegantulus	261736
2416	Animalia	Chordata	Mammalia	Primates	Galagidae	Galago	moholi	South African galago	146	372	124	NA	1.4	2	182	12.3	NA	169.2	NA	16.6	671	captivity	medium	acceptable	NA	NA	0.285	170	NA	36,434,436,455,467,671,681,978,1221,1301	Galago moholi	30609
2417	Animalia	Chordata	Mammalia	Primates	Galagidae	Galago	senegalensis	Senegal galago	240	300	126	89	1.5	2	225	12.2	100	192.2	0.0169	17.1	671	captivity	medium	acceptable	NA	NA	0.764	171.5	311.05	36,84,164,420,434,436,455,463,467,610,671,679,680,681,731	Galago senegalensis	9465
2418	Animalia	Chordata	Mammalia	Primates	Galagidae	Galagoides	demidoff	Demidoff's galago	256	270	111	50	1.1	1	365	7.5	NA	60	NA	13.4	671	captivity	small	acceptable	NA	NA	0.372	62.4	NA	1,36,434,436,455,463,467,671	Galagoides demidoff	89672
2419	Animalia	Chordata	Mammalia	Primates	Galagidae	Otolemur	crassicaudatus	Greater galago	495	639	130	138	1.5	1	119	43.2	500	1094.5	NA	22.7	671	captivity	medium	acceptable	NA	NA	2.595	993.5	309.75	36,59,384,434,436,455,467,610,671,679,680,681,1032	Otolemur crassicaudatus	9463
2420	Animalia	Chordata	Mammalia	Primates	Galagidae	Otolemur	garnettii	Small-eared galago	600	600	132	140	1	1.4	365	46	NA	1300	NA	20	1301	captivity	medium	acceptable	NA	NA	3.927	1314	309.15	36,420,434,467,671,681,1301	Otolemur garnettii	30611
2421	Animalia	Chordata	Mammalia	Primates	Galagidae	Paragalago	zanzibaricus	Zanzibar galago	265	365	120	NA	1.3	2	NA	14.1	NA	146.8	NA	NA		unknown	small	low	NA	NA	NA	NA	NA	434,455,467,671,681	Paragalago zanzibaricus	NA
