Patho-Nr,English,Tierart,scientific_name,Abbreviation,Institution,Location
CB/844/15,Mouflon,Mufflon,Ovis orientalis,MU_3_L,fiwi,"Vienna, Austria"
CB/844/15,Mouflon,Mufflon,Ovis orientalis,MU_3_S,fiwi,"Vienna, Austria"
CB/844/15,Mouflon,Mufflon,Ovis orientalis,MU_3_LN,fiwi,"Vienna, Austria"
CB/844/15,Mouflon,Mufflon,Ovis orientalis,MU_3_B,fiwi,"Vienna, Austria"
AC/761/10,Dice snake,Wuerfelnatter,Natrix tessellata,DS_1_H,fiwi,"Vienna, Austria"
AC/761/10,Dice snake,Wuerfelnatter,Natrix tessellata,DS_1_L,fiwi,"Vienna, Austria"
Z/19/11,Dice snake,Wuerfelnatter,Natrix tessellata,DS_2_H,fiwi,"Vienna, Austria"
Z/19/11,Dice snake,Wuerfelnatter,Natrix tessellata,DS_2_L,fiwi,"Vienna, Austria"
Z/20/11,Dice snake,Wuerfelnatter,Natrix tessellata,DS_3_H,fiwi,"Vienna, Austria"
Z/20/11,Dice snake,Wuerfelnatter,Natrix tessellata,DS_3_L,fiwi,"Vienna, Austria"
AC/251/12,Humboldt penguin,Humboldtpinguin,Spheniscus humboldti,HP_1_H,fiwi,"Vienna, Austria"
AC/251/12,Humboldt penguin,Humboldtpinguin,Spheniscus humboldti,HP_1_L,fiwi,"Vienna, Austria"
AC/251/12,Humboldt penguin,Humboldtpinguin,Spheniscus humboldti,HP_1_S,fiwi,"Vienna, Austria"
AC/251/12,Humboldt penguin,Humboldtpinguin,Spheniscus humboldti,HP_1_B,fiwi,"Vienna, Austria"
AC/525/13,Humboldt penguin,Humboldpinguin,Spheniscus humboldti,HP_2_H,fiwi,"Vienna, Austria"
AC/525/13,Humboldt penguin,Humboldpinguin,Spheniscus humboldti,HP_2_L,fiwi,"Vienna, Austria"
AC/525/13,Humboldt penguin,Humboldpinguin,Spheniscus humboldti,HP_2_S,fiwi,"Vienna, Austria"
AC/525/13,Humboldt penguin,Humboldpinguin,Spheniscus humboldti,HP_2_B,fiwi,"Vienna, Austria"
Z/620/13,Humboldt penguin,Humboldpinguin,Spheniscus humboldti,HP_3_H,fiwi,"Vienna, Austria"
Z/620/13,Humboldt penguin,Humboldpinguin,Spheniscus humboldti,HP_3_L,fiwi,"Vienna, Austria"
Z/620/13,Humboldt penguin,Humboldpinguin,Spheniscus humboldti,HP_3_S,fiwi,"Vienna, Austria"
Z/620/13,Humboldt penguin,Humboldpinguin,Spheniscus humboldti,HP_3_B,fiwi,"Vienna, Austria"
Z/344/10,Mossy frog,Moosfrosch,Theloderma,MF_1_L,fiwi,"Vienna, Austria"
Z/344/10,Mossy frog,Moosfrosch,Theloderma,MF_1_M,fiwi,"Vienna, Austria"
Z/424/10,Mossy frog,Moosfrosch,Theloderma,MF_2_H,fiwi,"Vienna, Austria"
Z/424/10,Mossy frog,Moosfrosch,Theloderma,MF_2_L,fiwi,"Vienna, Austria"
Z/424/10,Mossy frog,Moosfrosch,Theloderma,MF_2_B,fiwi,"Vienna, Austria"
Z/424/10,Mossy frog,Moosfrosch,Theloderma,MF_2_M,fiwi,"Vienna, Austria"
Z/722/13,Mossy frog,Moosfrosch,Theloderma,MF_3_H,fiwi,"Vienna, Austria"
Z/722/13,Mossy frog,Moosfrosch,Theloderma,MF_3_L,fiwi,"Vienna, Austria"
Z/722/13,Mossy frog,Moosfrosch,Theloderma,MF_3_M,fiwi,"Vienna, Austria"
AC/10/10,Pricklenape agama,Nackenstachler,Acanthosaura,PA_1_H,fiwi,"Vienna, Austria"
AC/10/10,Pricklenape agama,Nackenstachler,Acanthosaura,PA_1_L,fiwi,"Vienna, Austria"
AC/10/10,Pricklenape agama,Nackenstachler,Acanthosaura,PA_1_LU,fiwi,"Vienna, Austria"
AC/798/14,Pricklenape agama,Nackenstachler,Acanthosaura,PA_2_H,fiwi,"Vienna, Austria"
AC/798/14,Pricklenape agama,Nackenstachler,Acanthosaura,PA_2_L,fiwi,"Vienna, Austria"
AC/798/14,Pricklenape agama,Nackenstachler,Acanthosaura,PA_2_LU,fiwi,"Vienna, Austria"
Z/122/10,Cheetah,Gepard,Acinonyx,CH_1_H,fiwi,"Vienna, Austria"
Z/122/10,Cheetah,Gepard,Acinonyx,CH_1_S,fiwi,"Vienna, Austria"
Z/122/10,Cheetah,Gepard,Acinonyx,CH_1_LU,fiwi,"Vienna, Austria"
Z/122/10,Cheetah,Gepard,Acinonyx,CH_1_LN,fiwi,"Vienna, Austria"
CB/1042/15,Cheetah,Gepard,Acinonyx,CH_2_H,fiwi,"Vienna, Austria"
CB/1042/15,Cheetah,Gepard,Acinonyx,CH_2_L,fiwi,"Vienna, Austria"
CB/1042/15,Cheetah,Gepard,Acinonyx,CH_2_S,fiwi,"Vienna, Austria"
CB/1042/15,Cheetah,Gepard,Acinonyx,CH_2_LU,fiwi,"Vienna, Austria"
CB/1042/15,Cheetah,Gepard,Acinonyx,CH_2_LN,fiwi,"Vienna, Austria"
AC/664/13,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_1_H,fiwi,"Vienna, Austria"
AC/664/13,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_1_L,fiwi,"Vienna, Austria"
AC/664/13,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_1_S,fiwi,"Vienna, Austria"
AC/664/13,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_1_LU,fiwi,"Vienna, Austria"
AC/664/13,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_1_B,fiwi,"Vienna, Austria"
Z/392/14,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_2_H,fiwi,"Vienna, Austria"
Z/392/14,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_2_L,fiwi,"Vienna, Austria"
Z/392/14,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_2_S,fiwi,"Vienna, Austria"
Z/392/14,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_2_LU,fiwi,"Vienna, Austria"
Z/392/14,Vulturine guineafowl,Geierperlhuhn,Acryllium vulturinum,VG_2_B,fiwi,"Vienna, Austria"
Z/546/10,Red panda,Roter Panda,Ailurus fulgens,RP_1_H,fiwi,"Vienna, Austria"
Z/546/10,Red panda,Roter Panda,Ailurus fulgens,RP_1_L,fiwi,"Vienna, Austria"
Z/546/10,Red panda,Roter Panda,Ailurus fulgens,RP_1_S,fiwi,"Vienna, Austria"
Z/546/10,Red panda,Roter Panda,Ailurus fulgens,RP_1_LU,fiwi,"Vienna, Austria"
Z/546/10,Red panda,Roter Panda,Ailurus fulgens,RP_1_LN,fiwi,"Vienna, Austria"
AC/931/12,Red panda,Roter Panda,Ailurus fulgens,RP_2_H,fiwi,"Vienna, Austria"
AC/931/12,Red panda,Roter Panda,Ailurus fulgens,RP_2_L,fiwi,"Vienna, Austria"
AC/931/12,Red panda,Roter Panda,Ailurus fulgens,RP_2_S,fiwi,"Vienna, Austria"
AC/931/12,Red panda,Roter Panda,Ailurus fulgens,RP_2_LU,fiwi,"Vienna, Austria"
AC/931/12,Red panda,Roter Panda,Ailurus fulgens,RP_2_B,fiwi,"Vienna, Austria"
AC/606/14,Mole salamander,Querzahnmolch,Ambystoma,MS_1_H,fiwi,"Vienna, Austria"
AC/606/14,Mole salamander,Querzahnmolch,Ambystoma,MS_1_L,fiwi,"Vienna, Austria"
AC/606/14,Mole salamander,Querzahnmolch,Ambystoma,MS_1_LU,fiwi,"Vienna, Austria"
AC/612/14,Mole salamander,Querzahnmolch,Ambystoma,MS_2_L,fiwi,"Vienna, Austria"
AC/612/14,Mole salamander,Querzahnmolch,Ambystoma,MS_2_LU,fiwi,"Vienna, Austria"
Z/223/13,Bactrian camel,Trampeltier,Camelus ferus,BC_1_H,fiwi,"Vienna, Austria"
Z/223/13,Bactrian camel,Trampeltier,Camelus ferus,BC_1_L,fiwi,"Vienna, Austria"
Z/223/13,Bactrian camel,Trampeltier,Camelus ferus,BC_1_S,fiwi,"Vienna, Austria"
Z/223/13,Bactrian camel,Trampeltier,Camelus ferus,BC_1_LU,fiwi,"Vienna, Austria"
Z/223/13,Bactrian camel,Trampeltier,Camelus ferus,BC_1_LN,fiwi,"Vienna, Austria"
Z/362/15,Bactrian camel,Trampeltier,Camelus ferus,BC_2_H,fiwi,"Vienna, Austria"
Z/362/15,Bactrian camel,Trampeltier,Camelus ferus,BC_2_L,fiwi,"Vienna, Austria"
Z/362/15,Bactrian camel,Trampeltier,Camelus ferus,BC_2_S,fiwi,"Vienna, Austria"
Z/362/15,Bactrian camel,Trampeltier,Camelus ferus,BC_2_LU,fiwi,"Vienna, Austria"
Z/362/15,Bactrian camel,Trampeltier,Camelus ferus,BC_2_LN,fiwi,"Vienna, Austria"
AC/549/14,Helmeted water toad,Chil. Helmkopf,Caudiverbera caudiverbera,HT_1_H,fiwi,"Vienna, Austria"
AC/549/14,Helmeted water toad,Chil. Helmkopf,Caudiverbera caudiverbera,HT_1_L,fiwi,"Vienna, Austria"
AC/549/14,Helmeted water toad,Chil. Helmkopf,Caudiverbera caudiverbera,HT_1_LU,fiwi,"Vienna, Austria"
AC/550/14,Helmeted water toad,Chil. Helmkopf,Caudiverbera caudiverbera,HT_2_H,fiwi,"Vienna, Austria"
AC/550/14,Helmeted water toad,Chil. Helmkopf,Caudiverbera caudiverbera,HT_2_L,fiwi,"Vienna, Austria"
AC/550/14,Helmeted water toad,Chil. Helmkopf,Caudiverbera caudiverbera,HT_2_LU,fiwi,"Vienna, Austria"
AC/734/12,Veiled chameleon,Jemenchamaeleon,Chamaeleo calyptratus,VC_1_H,fiwi,"Vienna, Austria"
AC/734/12,Veiled chameleon,Jemenchamaeleon,Chamaeleo calyptratus,VC_1_L,fiwi,"Vienna, Austria"
AC/734/12,Veiled chameleon,Jemenchamaeleon,Chamaeleo calyptratus,VC_1_LU,fiwi,"Vienna, Austria"
AC/735/12,Veiled chameleon,Jemenchamaeleon,Chamaeleo calyptratus,VC_2_H,fiwi,"Vienna, Austria"
AC/735/12,Veiled chameleon,Jemenchamaeleon,Chamaeleo calyptratus,VC_2_L,fiwi,"Vienna, Austria"
AC/735/12,Veiled chameleon,Jemenchamaeleon,Chamaeleo calyptratus,VC_2_LU,fiwi,"Vienna, Austria"
Z/205/10,Crow,Kraehe,Corvus,CR_1_H,fiwi,"Vienna, Austria"
Z/205/10,Crow,Kraehe,Corvus,CR_1_L,fiwi,"Vienna, Austria"
Z/205/10,Crow,Kraehe,Corvus,CR_1_S,fiwi,"Vienna, Austria"
Z/205/10,Crow,Kraehe,Corvus,CR_1_LU,fiwi,"Vienna, Austria"
Z/205/10,Crow,Kraehe,Corvus,CR_1_B,fiwi,"Vienna, Austria"
Z/215/10,Crow,Kraehe,Corvus,CR_2_H,fiwi,"Vienna, Austria"
Z/215/10,Crow,Kraehe,Corvus,CR_2_L,fiwi,"Vienna, Austria"
Z/215/10,Crow,Kraehe,Corvus,CR_2_S,fiwi,"Vienna, Austria"
Z/215/10,Crow,Kraehe,Corvus,CR_2_LU,fiwi,"Vienna, Austria"
Z/215/10,Crow,Kraehe,Corvus,CR_2_B,fiwi,"Vienna, Austria"
Z/745/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_1_H,fiwi,"Vienna, Austria"
Z/745/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_1_L,fiwi,"Vienna, Austria"
Z/745/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_1_S,fiwi,"Vienna, Austria"
Z/745/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_1_LU,fiwi,"Vienna, Austria"
Z/753/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_2_H,fiwi,"Vienna, Austria"
Z/753/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_2_L,fiwi,"Vienna, Austria"
Z/753/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_2_S,fiwi,"Vienna, Austria"
Z/753/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_2_LU,fiwi,"Vienna, Austria"
Z/753/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_2_LN,fiwi,"Vienna, Austria"
Z/753/10,Pouched rats,Hamsterratte,Cricetomyinae,PR_2_B,fiwi,"Vienna, Austria"
Z/459/11,Crocodile,Krokodil,Crocodylia,CD_1_H,fiwi,"Vienna, Austria"
Z/459/11,Crocodile,Krokodil,Crocodylia,CD_1_L,fiwi,"Vienna, Austria"
Z/459/11,Crocodile,Krokodil,Crocodylia,CD_1_S,fiwi,"Vienna, Austria"
Z/459/11,Crocodile,Krokodil,Crocodylia,CD_1_LU,fiwi,"Vienna, Austria"
Z/9/12,Crocodile,Krokodil,Crocodylia,CD_2_L,fiwi,"Vienna, Austria"
Z/9/12,Crocodile,Krokodil,Crocodylia,CD_2_S,fiwi,"Vienna, Austria"
Z/9/12,Crocodile,Krokodil,Crocodylia,CD_2_B,fiwi,"Vienna, Austria"
